,Unnamed: 0,composition,mp-id,target
866,866,Mn1.9Fe0.1Cu0.4Ni0.6O4,,9.0
868,868,Sr2MnSbO6,mp-548149.cif,2.0
869,869,Zn3N2,mp-754553.cif,6.12
870,870,TaNO,mp-4165.cif,34.0
872,872,Ba1Ti4Zn1.98Cu0.02O11,,29.5
874,874,SrRuO3,mp-1179112.cif,740.0
875,875,YP2,,10.4
878,878,BaCuB2O5,mp-551135.cif,10.3
879,879,Na0.5Sm0.5Ti1O3,,100.5
880,880,LaMnO3,mp-1296868.cif,8.833333333333334
881,881,Nd1Ti0.5Zn0.5O3,,31.6
882,882,LiAlO2,mp-3427.cif,6.285
885,885,VCu2BiO6,mp-554393.cif,18.199
890,890,HgGeP2,,19.28
891,891,Zn0.5Cd0.5S1,,3.84875
892,892,BaTa2O6,mp-676339.cif,21.774193548387096
893,893,BaMg2V2O8,mp-19084.cif,12.0
899,899,LiCa2Mg2V3O12,,10.2
900,900,NaSr2Mg2V3O12,,11.7
901,901,BaPrCoO,,1050.0
903,903,Bi2TeO5,mp-23334.cif,52.0
904,904,V0.9Cu0.1Bi2O5.35,,30.0
905,905,Sr6Nb9030Cr,,205.0
906,906,ZrTiO4,mp-753891.cif,30.25
907,907,LiAlGe,mp-5920.cif,12.68
912,912,MgZrTa2O8,,27.543333333333333
913,913,TlGaSe2,mp-17254.cif,79.75
914,914,BPCF,,2.3
916,916,B2Cl,,3.29
917,917,P3O,,2.76
919,919,FeCuO2,mp-505110.cif,20.0
920,920,Cs2HgCl4,mp-1203522.cif,5.326
921,921,Y2SO2,mp-12894.cif,5.3
922,922,AlCrB,,82.1985
923,923,Pr2Si2O7,mp-3160.cif,17.0
926,926,Ba2ZnWO6,mp-548615.cif,27.33714285714285
928,928,Ba5NdNb9ZnO30,,282.0
930,930,Ti0.5Si0.5O2,,23.0
931,931,Ca5TiNb4O17,,43.1
933,933,SrClF,mp-22957.cif,50.0
935,935,Ce0.5Fe0.5Bi0.5Pb0.5O3,,22.0
937,937,Sn2S3,656782.cif,2.96
938,938,Ba0.75Y0.17Nb2O6,,180.0
939,939,Ba3Ta4TiO15,mp-1228225.cif,85.0
941,941,SrNdGaO4,mp-1218095.cif,21.0
943,943,H9C5,,9.71
945,945,Sr1V0.2Bi2N1.8O9,,779.0
946,946,FeCuS,,104.0
947,947,La2SO2,mp-4511.cif,4.67
948,948,Sm2Ti2O7,mp-3335.cif,118.5
949,949,BaTiReO3,,70.0
951,951,Li2.081Ti0.676Nb0.243O3,,66.5
952,952,SnSe2,mp-665.cif,7.923333333333333
955,955,ZrNb2NiO8,,17.708333333333332
957,957,Mg1.9Cu0.1Si1O4,,7.6
959,959,Sr0.5Sm1.5Ni1O4,,105.0
