composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li3.7 P1 N0.7 O3.4,2.36E-06,-5.627087997,0.6,,25,https://doi.org/10.1039/D2EE03499A
Li1.16 P0.84 O2.68,2.00E-08,-7.698970004,0.6,,25,https://doi.org/10.1039/D2EE03499A
Li1.16 P1 O3.08,2.00E-08,-7.698970004,0.6,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 P0.8 O2.6,3.00E-08,-7.522878745,0.61,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 P1 O3.1,3.00E-08,-7.522878745,0.61,,25,https://doi.org/10.1039/D2EE03499A
Li6Y(BO3)3,1.90E-08,-7.721246399,0.61,,50,https://doi.org/10.1039/C5TA09436D
Li4 P1 N0.4 O3.9,1.70E-06,-5.769551079,0.62,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Si0.4 S0.8 N0.6,2.25E-08,-7.647817482,0.63,,25,https://doi.org/10.1039/D2EE03499A
Li0.38 Sm0.52 Ti1 O2.97,2.00E-07,-6.698970004,0.64,,25,https://doi.org/10.1039/D2EE03499A
Li4.4 P1 O4.3,9.39E-07,-6.027334408,0.64,,25,https://doi.org/10.1039/D2EE03499A
Li3 Sc2 P3 O12,1.00E-06,-6,0.65,,26.85,https://pubs.acs.org/doi/10.1021/acs.chemmater.9b04663.
Li3 H1 Cl2 O1,8.92E-08,-7.049635146,0.67,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Ge0.8 Mo0.2 O4,1.11E-07,-6.954677021,0.67,,25,https://doi.org/10.1021/acs.inorgchem.3c01222
Li2.7 P1 O3.9,7.00E-08,-7.15490196,0.68,,25,https://doi.org/10.1039/D2EE03499A
Li3.4 Ge0.7 Mo0.3 O4,7.54E-09,-8.122628654,0.7,,25,https://doi.org/10.1021/acs.inorgchem.3c01222
Li1 P1 O3,1.10E-09,-8.958607315,0.71,,25,https://doi.org/10.1039/D2EE03499A
Li2 P2 O6,1.10E-09,-8.958607315,0.71,,25,https://doi.org/10.1039/D2EE03499A
Li5 H3 Cl2 O3,2.52E-08,-7.598599459,0.75,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 Ge0.6 Mo0.4 O4,2.73E-10,-9.563837353,0.79,,25,https://doi.org/10.1021/acs.inorgchem.3c01222
Li1 Cl1,1.00E-09,-9,0.83,,26.85,"Chem. Mater. 2020, 32, 3741‚àí3763"
Li3 H2 Cl1 O2,2.72E-08,-7.565431096,0.88,,25,https://doi.org/10.1039/D2EE03499A
Li2 B6 O9 F2,2.20E-10,-9.657577319,0.92,,100,https://doi.org/10.1016/j.jssc.2011.11.053
Li2 B3 O4 F3,1.60E-09,-8.795880017,1.05,,100,https://doi.org/10.1016/j.jssc.2011.11.053
Li3.8 Ge0.9 Mo0.1 O4,3.53E-14,-13.45222529,1.05,,25,https://doi.org/10.1021/acs.inorgchem.3c01222
Li2 Mo1 O4,2.28E-09,-8.642065153,1.18,,250,https://doi.org/10.1021/acs.inorgchem.3c01222
Li3 Nd3 Te2 O12,1.00E-10,-10,1.22,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)1.6TaCl5,0.0066,-2.180456064,0.274,,25,https://doi.org/10.1038/s41467-023-39197-8
Li2.73Dy1.09Cl6,0.0009,-3.045757491,,,25,https://doi.org/10.1002/aenm.202103921
Li2.73Y1.09Cl6,0.0007,-3.15490196,,,25,https://doi.org/10.1002/aenm.202103921
Li2.73Er1.09Cl6,0.00064,-3.193820026,,,25,https://doi.org/10.1002/aenm.202103921
Li2.73Tm1.09Cl6,0.00089,-3.050609993,,,25,https://doi.org/10.1002/aenm.202103921
Li9.54Si1.74P1.44S11.1Br0.3O0.6,1.09E-02,-1.962573502,,,25,DOI: 10.1126/science.add7138
Li1.34 Mn1.33 Cl4,9.57E-06,-5.019088062,,,25,https://doi.org/10.1039/D2EE03499A
Li0.998 Ca0.002 I1.002,9.80E-07,-6.008773924,,,25,https://doi.org/10.1039/D2EE03499A
Li1 F1,7.75E-09,-8.110698297,,,392,"Journal De Physique 26 339-341, 1965"
Li1 F1,2.65E-09,-8.576754126,,,351,"Journal De Physique 26 339-341, 1965"
Li1 F1,1.07E-09,-8.970616222,,,321,"Journal De Physique 26 339-341, 1965"
Li1 F1,1.85E-10,-9.732828272,,,270,10.1023/A:1006564921011
Li1 F1,1.41E-11,-10.85078089,,,203,10.1023/A:1006564921011
Li1 F1,5.70E-13,-12.24412514,,,142,10.1023/A:1006564921011
Li1 F1,1.18E-14,-13.92811799,,,25,"Journal De Physique 26 339-341, 1965"
Li1.52 Mn1.24 Cl4,1.85E-05,-4.732828272,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Mn1.2 Cl4,1.45E-05,-4.838631998,,,25,https://doi.org/10.1039/D2EE03499A
Li1.72 Mn1.14 Cl4,3.62E-06,-5.441291429,,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Mg1.1 Cl4,1.52E-06,-5.818156412,,,25,https://doi.org/10.1039/D2EE03499A
Li1.9 Cd1.05 Cl4,3.50E-06,-5.455931956,,,25,https://doi.org/10.1039/D2EE03499A
Li1.9 Mn1.05 Cl4,4.61E-06,-5.336299075,,,25,https://doi.org/10.1039/D2EE03499A
Li2.7 Ca0.15 In1 Br6,6.97E-05,-4.156767222,,,25,https://doi.org/10.1039/D2EE03499A
Li2.8 Ca0.1 In1 Br6,0.0003,-3.522878745,,,25,https://doi.org/10.1039/D2EE03499A
Li2.86 Ca0.07 In1 Br6,0.000404,-3.393618635,,,25,https://doi.org/10.1039/D2EE03499A
Li2.9 Ca0.05 In1 Br6,0.000216,-3.665546249,,,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Br6,0.000904,-3.04383157,,,25,https://doi.org/10.1039/D2EE03499A
Li6 Co1 Cl8,4.89E-06,-5.310691141,,,135.16,10.1002/zaac.19875531020
Li6 Co1 Cl8,3.34E-05,-4.476253533,,,315,10.1002/zaac.19875531020
Li6 Co1 Cl8,1.51E-06,-5.821023053,,,25,10.1002/zaac.19875531020
Li6 Fe1 Cl8,2.20E-06,-5.657577319,,,100,10.1002/zaac.19875531020
Li6 Fe1 Cl8,1.55E-06,-5.809668302,,,90.63,10.1002/zaac.19875531020
Li6 Fe1 Cl8,0.00569,-2.244887734,,,282,10.1002/zaac.19875531020
Li6 Fe1 Cl8,8.97E-08,-7.047207557,,,25,10.1002/zaac.19875531020
Li6 Ni1 Br3,1.50E-07,-6.823908741,,,25,10.1002/zaac.19875531020
Li6 Ni1 Cl8,1.67E-06,-5.777283529,,,203.19,10.1002/zaac.19875531020
Li6 Ni1 Cl8,0.0189,-1.723538196,,,393.66,10.1002/zaac.19875531020
Li6 Ni1 Cl8,2.69E-10,-9.57024772,,,25,10.1002/zaac.19875531020
(LiCl)0.5SmCl3,1.00E-04,-4,,,25,https://doi.org/10.1021/jacs.2c09446
(Li2ZrCl5)0.5SmCl3,1.00E-03,-3,,,25,https://doi.org/10.1021/jacs.2c09446
Li2.2 Fe0.2 Zr0.8 Cl6,9.00E-04,-3.045757491,,,30,10.1002/aenm.202003190
Li2.4 Fe0.4 Zr0.6 Cl6,8.00E-04,-3.096910013,,,30,10.1002/aenm.202003190
Li2.25Zr0.75V0.25Cl6,9.00E-04,-3.045757491,,,30,10.1002/aenm.202003190
Li2.1Zr0.9Cr0.1Cl6,8.50E-04,-3.070581074,,,30,10.1002/aenm.202003190
Li2.99Y0.84In0.08Sc0.07Zr0.01Br1.6Cl4.4,5.56E-04,-3.254925208,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li2.99Y0.99Zr0.01BrCl5,5.40E-04,-3.26760624,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li2.99Y0.99Zr0.01Br0.4Cl5.6,3.70E-04,-3.431798276,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li3Y0.85In0.15Cl6 ,3.00E-04,-3.522878745,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li3Y0.82Sc0.18Cl6,2.75E-04,-3.560667306,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li2.99Y0.99Zr0.01Cl6,2.76E-04,-3.559090918,,,25,https://doi.org/10.1007/s10008-023-05612-9
Li1 Al1 H4,2.00E-09,-8.698970004,,,26.85,https://doi.org/10.1039/C6EE02697D
Li1 H2 N1,4.00E-10,-9.397940009,,,26.85,https://doi.org/10.1039/C6EE02697D
Li2 Ca1 H2 N2,6.40E-06,-5.193820026,,,26.85,https://doi.org/10.1039/C6EE02697D
Li2 H1 N1,0.00025,-3.602059991,,,26.85,https://doi.org/10.1039/C6EE02697D
Li4 B1 H10 N3,0.0002,-3.698970004,,,26.85,https://doi.org/10.1039/C6EE02697D
Ba0.005 Li2.99 I0.5 Cl0.5 O1,0.00337,-2.472370099,,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br0.8 O1 F0.2,5.44E-07,-6.2644011,,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br0.9 O1 F0.1,6.80E-07,-6.167491087,,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br0.95 O1 F0.05,6.75E-07,-6.170696227,,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br0.98 O1 F0.02,1.11E-06,-5.954677021,,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Br0.99 O1 F0.01,9.16E-07,-6.038104526,,,25,https://doi.org/10.1039/D2EE03499A
Li2.1 H0.9 Cl1 O1,8.05E-08,-7.09420412,,,26,10.1002/aenm.201700971
Li2.4 H0.6 Cl1 O1,8.90E-08,-7.050609993,,,26,10.1002/aenm.201700971
Li2.7 H0.3 Cl1 O1,7.30E-09,-8.13667714,,,26,10.1002/aenm.201700971
Li3 Br0.5 Cl0.5 O1,0.00301,-2.521433504,,,253,10.1021/ja305709z
Li3 Br0.5 Cl0.5 O1,0.0193,-1.714442691,,,260.76,10.1021/ja305709z
Li3 Br0.5 Cl0.5 O1,0.00398,-2.400116928,,,171.78,10.1021/ja305709z
Li3 Br0.5 Cl0.5 O1,0.00158,-2.801342913,,,90.59,10.1021/ja305709z
Li3 Br0.5 Cl0.5 O1,0.000938,-3.027797162,,,29.61,10.1021/ja305709z
Li6 Si1 Cl2 O4,1.00E-10,-10,,,25,10.1021/acs.chemmater.1c00157
Li6 Si1 Cl2 O4,6.20E-06,-5.207608311,,,302,10.1021/acs.chemmater.1c00157
Li6.02 Si0.02 P0.98 S5 Br1,0.000874,-3.058488567,,,25,10.1039/c7ta08581h
Li6.08 Si0.08 P0.92 S5 Br1,0.000864,-3.063486258,,,25,10.1039/c7ta08581h
Li6.1 Si0.1 P0.9 S5 Br1,0.000805,-3.09420412,,,25,10.1039/c7ta08581h
Li6.12 Si0.12 P0.9 S5 Br1,0.0009,-3.045757491,,,25,10.1039/c7ta08581h
Li6.13 Si0.13 P0.87 S5 Br1,0.000901,-3.045275209,,,25,10.1039/c7ta08581h
Li6.17 Si0.17 P0.83 S5 Br1,0.000929,-3.031984286,,,25,10.1039/c7ta08581h
Li6.5 Sn0.5 P0.5 S5 I1,0.000235,-3.628932138,,,25,https://doi.org/10.1039/D2EE03499A
Li6.55 Ge0.55 P0.45 S5 I1,0.000411,-3.386158178,,,25,https://doi.org/10.1039/D2EE03499A
Li6.8 Ge0.8 P0.2 S5 I1,5.21E-05,-4.283162277,,,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Br2 Cl4,6.89E-08,-7.161780778,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 Ag0.5 P0.5 I0.5 O1.5,4.10E-08,-7.387216143,,,30,10.1016/j.ssi.2008.04.015
Li0.5 Ag0.5 P0.5 I0.5 O1.5,6.46E-07,-6.189767482,,,130,10.1016/j.ssi.2008.04.015
Li0.5 P1 Cl0.5 O2.5,9.12E-06,-5.040005162,,,192,10.1007/s11581-008-0276-2
Li0.5 P1 Cl0.5 O2.5,1.23E-06,-5.910094889,,,149.87,10.1007/s11581-008-0276-2
Li0.5 P1 Cl0.5 O2.5,6.83E-08,-7.165579296,,,30,10.1007/s11581-008-0276-2
Li0.6 Ga0.14 Ge0.63 S1.77,1.89E-06,-5.723538196,,,25,10.1016/j.ssi.2007.10.011
Li0.6 Ga0.14 Ge0.63 S1.77,0.00422,-2.374687549,,,215,10.1016/j.ssi.2007.10.011
Li0.72 Ga0.098 Ge0.441 S1.239 I0.3,0.000291,-3.536107011,,,25,10.1016/j.ssi.2007.10.011
Li1 P0.65 I0.35 O1.95,0.00158,-2.801342913,,,110.18,10.1007/s11581-008-0252-x
Li1 P0.75 I0.25 O2.25,0.000794,-3.100179498,,,110,10.1007/s11581-008-0252-x
Li1 P0.9 I0.1 O2.7,0.000398,-3.400116928,,,25,10.1007/s11581-008-0252-x
Li1.15 P0.6 Cl0.25 O1.95,2.49E-05,-4.603800653,,,53.63,10.1016/j.jpowsour.2008.07.089
Li1.15 P0.6 Cl0.25 O1.95,2.45E-06,-5.610833916,,,23.66,10.1016/j.jpowsour.2008.07.089
Li1.218 Si0.396 P0.01 S1.386 O0.04,0.000253,-3.596879479,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2378 Si0.3861 P0.01 S1.3761 O0.04,0.000505,-3.296708622,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2467 Si0.38415 P0.015 S1.36915 O0.06,0.000596,-3.22475374,,,25,https://doi.org/10.1039/D2EE03499A
Li1.254 Si0.388 P0.03 S1.358 O0.12,0.000397,-3.401209493,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2556 Si0.3822 P0.02 S1.3622 O0.08,0.000769,-3.11407366,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2645 Si0.38025 P0.025 S1.35525 O0.1,0.000636,-3.196542884,,,25,https://doi.org/10.1039/D2EE03499A
Li1.29 Si0.38 P0.05 S1.33 O0.2,0.000203,-3.692503962,,,25,https://doi.org/10.1039/D2EE03499A
Li1.309 Si0.3705 P0.05 S1.3205 O0.2,0.000468,-3.329754147,,,25,https://doi.org/10.1039/D2EE03499A
Li1.317 Si0.3465 P0.01 S1.3365 O0.04,0.00036,-3.443697499,,,25,https://doi.org/10.1039/D2EE03499A
Li1.351 Si0.3395 P0.03 S1.3095 O0.12,0.000262,-3.581698709,,,25,https://doi.org/10.1039/D2EE03499A
Li1.38 Si0.36 P0.1 S1.26 O0.4,5.20E-05,-4.283996656,,,25,https://doi.org/10.1039/D2EE03499A
Li1.385 Si0.3325 P0.05 S1.2825 O0.2,0.000181,-3.742321425,,,25,https://doi.org/10.1039/D2EE03499A
Li1.398 Si0.351 P0.1 S1.251 O0.4,0.000128,-3.89279003,,,25,https://doi.org/10.1039/D2EE03499A
Li1.47 Si0.315 P0.1 S1.215 O0.4,7.13E-05,-4.14691047,,,25,https://doi.org/10.1039/D2EE03499A
Li100 Al8 P92 O292,1.41E-05,-4.850780887,,,131,10.1016/j.jeurceramsoc.2008.12.016
Li120 P60 O200 F20,7.99E-05,-4.097453221,,,106,10.1134/S1023193509050048
Li120 P60 O200 F20,4.52E-06,-5.344861565,,,53,10.1134/S1023193509050048
Li120 P60 O200 F20,4.40E-07,-6.356547324,,,25,10.1134/S1023193509050048
Li120 P60 O200 F20,2.24E-05,-4.649751982,,,88,10.1134/S1023193509050048
Li133 B33 P34 H132 S135,0.00143,-2.844663963,,,25,10.1016/j.jpowsour.2012.12.001
Li134 Si43 S133 O20,0.044,-1.356547324,,,193,10.1016/j.jpowsour.2006.04.037
Li134 Si43 S133 O20,0.0132,-1.879426069,,,130,10.1016/j.jpowsour.2006.04.037
Li134 Si43 S133 O20,0.009,-2.045757491,,,109,10.1016/j.jpowsour.2006.04.037
Li134 Si43 S133 O20,0.00409,-2.388276692,,,84,10.1016/j.jpowsour.2006.04.037
Li134 Si43 S133 O20,0.0023,-2.638272164,,,68,10.1016/j.jpowsour.2006.04.037
Li14 La3 S7 I3 O3,2.88E-06,-5.540607512,,,30,10.1016/j.ssi.2008.01.072
Li14 La3 S7 I3 O3,0.0182,-1.739928612,,,210,10.1016/j.ssi.2008.01.072
Li18 La1 S9 I1 O1,8.13E-09,-8.089909454,,,30,10.1016/j.ssi.2008.01.072
Li18 La1 S9 I1 O1,0.00145,-2.838631998,,,210,10.1016/j.ssi.2008.01.072
Li2 La1 S1 I1 O1,2.75E-07,-6.560667306,,,30,10.1016/j.ssi.2008.01.072
Li2 La1 S1 I1 O1,0.0145,-1.838631998,,,210,10.1016/j.ssi.2008.01.072
Li3.09 B1 N0.52 O2.53,3.86E-05,-4.413412695,,,110,10.1016/j.jpowsour.2008.09.089
Li3.09 B1 N0.52 O2.53,1.19E-05,-4.924453039,,,69,10.1016/j.jpowsour.2008.09.089
Li3.09 B1 N0.52 O2.53,1.85E-06,-5.732828272,,,39,10.1016/j.jpowsour.2008.09.089
Li3.09 B1 N0.52 O2.53,3.08E-07,-6.511449283,,,9,10.1016/j.jpowsour.2008.09.089
Li3.09 B1 N0.52 O2.53,8.65E-07,-6.062983893,,,25,10.1016/j.jpowsour.2008.09.089
Li4 La5 S2 I5 O5,3.09E-08,-7.510041521,,,210,10.1016/j.ssi.2008.01.072
Li4 La5 S2 I5 O5,6.92E-08,-7.159893906,,,30,10.1016/j.ssi.2008.01.072
Li3.2 P1 N0.7 O3.1,5.00E-07,-6.301029996,,,25,10.1016/j.ssi.2005.10.021
Li1.4 Ti2 P3 Cl0.4 O12,0.000645,-3.190440285,,,25,https://doi.org/10.1039/D2EE03499A
Li0.33 La0.55 Ti1 O3,0.00158,-2.801342913,,,25,https://doi.org/10.1039/D2EE03499A
Li0.33 La0.56 Ti0.96 Al0.04 O2.96 F0.04,0.0095,-2.022276395,,,200,10.1007/s11581-006-0011-9
Li0.33 La0.56 Ti0.96 Al0.04 O2.96 F0.04,0.00274,-2.562249437,,,100,10.1007/s11581-006-0011-9
Li0.33 La0.56 Ti0.96 Al0.04 O2.96 F0.04,0.000622,-3.206209615,,,25,10.1007/s11581-006-0011-9
Li0.5 La0.5 Zr0.1 Ti0.9 O3,7.05E-05,-4.151810883,,,25,https://doi.org/10.1039/D2EE03499A
Li5 P2 S6 N1,0.0014,-2.853871964,,,25,https://doi.org/10.1039/D2EE03499A
Li1.03 Si0.4925 P0.015 S1.4775 O0.06,6.28E-05,-4.202040356,,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 Si0.4875 P0.025 S1.4625 O0.1,8.76E-05,-4.057495894,,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Si0.475 P0.05 S1.425 O0.2,8.68E-05,-4.061480275,,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Si0.45 P0.1 S1.35 O0.4,6.76E-05,-4.170053304,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 P0.4 S1 O0.8,1.54E-05,-4.812479279,,,25,https://doi.org/10.1039/D2EE03499A
Li13.6 Si2.8 S1.2 O16,6.00E-07,-6.22184875,,,26.85,https://doi.org/10.1039/C6EE02697D
Li2 H1 Br1 O1 F1,7.10E-07,-6.148741651,,,25,https://doi.org/10.1039/D2EE03499A
Li2.2 Ti2 P3 Cl1.2 O12,0.00102,-2.991399828,,,25,https://doi.org/10.1039/D2EE03499A
Li2.2 Ti2 P3 N1.2 O15.6,0.000995,-3.002176919,,,25,https://doi.org/10.1039/D2EE03499A
Li2.2 Ti2 P3 S0.6 O14.4,0.000567,-3.246416941,,,25,https://doi.org/10.1039/D2EE03499A
Li2.65 P1.1 S3.85 I0.45,0.00112,-2.950781977,,,25,https://doi.org/10.1039/D2EE03499A
Li2.8 P1.2 S4.2 I0.4,0.00076,-3.119186408,,,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Br2.5 Cl3.5,3.60E-06,-5.443697499,,,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Br3 Cl3,0.000114,-3.943095149,,,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Br4 Cl2,7.58E-06,-5.120330794,,,25,https://doi.org/10.1039/D2EE03499A
Li3.05 Ge0.05 P0.95 Se0.1 S3.9,0.00141,-2.850780887,,,25,https://doi.org/10.1039/D2EE03499A
Li3.1 Ge0.1 P0.9 Se0.2 S3.8,0.00113,-2.946921557,,,25,https://doi.org/10.1039/D2EE03499A
Li3.1 Si0.55 S0.45 O4,3.14E-07,-6.503070352,,,25,https://doi.org/10.1039/D2EE03499A
Li3.15 Ge0.15 P0.85 Se0.3 S3.7,0.000816,-3.088309841,,,25,https://doi.org/10.1039/D2EE03499A
Li3.25 Ge0.25 P0.75 Se0.5 S3.5,0.000503,-3.298432015,,,25,https://doi.org/10.1039/D2EE03499A
Li3.25 P1.5 S5.25 I0.25,0.000396,-3.402304814,,,25,https://doi.org/10.1039/D2EE03499A
Li3.3 Ge0.3 P0.7 Se0.6 S3.4,0.00133,-2.876148359,,,25,https://doi.org/10.1039/D2EE03499A
Li3.35 Ge0.35 P0.65 Se0.7 S3.3,0.0012,-2.920818754,,,25,https://doi.org/10.1039/D2EE03499A
Li3.45 Ge0.45 P0.55 Se0.9 S3.1,0.00098,-3.008773924,,,25,https://doi.org/10.1039/D2EE03499A
Li3.55 P1.7 S5.95 I0.15,0.000235,-3.628932138,,,25,https://doi.org/10.1039/D2EE03499A
Li4 P1 S4 I1,6.26E-05,-4.203425667,,,25,10.1021/acs.chemmater.7b00013
Li6.05 As0.95 Sn0.05 S5 I1,1.99E-05,-4.701146924,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.1 As0.9 Sn0.1 S5 I1,8.20E-05,-4.086186148,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.15 As0.85 Sn0.15 S5 I1,2.00E-04,-3.698970004,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.2 As0.8 Sn0.2 S5 I1,1.97E-04,-3.705533774,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.4 As0.6 Sn0.4 S5 I1,8.35E-05,-4.078313525,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.6 As0.4 Sn0.6 S5 I1,6.11E-05,-4.21395879,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.1 As0.9 Si0.1 S5 I1,8.10E-06,-5.091514981,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.2 As0.8 Si0.2 S5 I1,2.82E-05,-4.549750892,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.3 As0.7 Si0.3 S5 I1,8.41E-04,-3.075204004,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.4 As0.6 Si0.4 S5 I1,3.50E-03,-2.455931956,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.5 As0.5 Si0.5 S5 I1,6.82E-03,-2.166215625,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.6 As0.4 Si0.6 S5 I1,6.40E-03,-2.193820026,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.7 As0.3 Si0.7 S5 I1,8.10E-03,-2.091514981,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.9 As0.1 Si0.9 S5 I1,1.89E-03,-2.723538196,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li7 Si1 S5 I1,9.55E-07,-6.019996628,,,25,https://doi.org/10.1038/s41467-023-39686-w
Li9.54Si1.74P1.44S11.7Br0.3,5.80E-03,-2.236572006,,,25,DOI: 10.1126/science.add7138
Li3InCl5.6F0.4,1.37E-03,-2.863279433,,,,https://doi.org/10.1016/j.jpowsour.2022.231939
Ba0.05 Li0.475 La0.475 Ti1 O3,0.000761,-3.118615343,,,25,https://doi.org/10.1039/D2EE03499A
Ba0.1 Li6.5 La2.9 Zr1.4 Ta0.6 O12,0.00083,-3.080921908,,,26.85,10.3389/fenrg.2016.00028
Ba0.25 Li6.65 La2.75 Zr1.4 Ta0.5 Nb0.1 O12,0.000527,-3.278189385,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Nd3 Te2 O12,1.00E-05,-5,,,600,10.1021/cm060992t
Li5 La3 Y0.05 Nb1.95 O12,1.32E-05,-4.879426069,,,25,https://doi.org/10.1039/D2EE03499A
Li5 La3 Y0.15 Nb1.85 O12,5.85E-06,-5.232844134,,,25,https://doi.org/10.1039/D2EE03499A
Li5 La3 Y0.2 Nb1.8 O12,9.05E-06,-5.043351421,,,25,https://doi.org/10.1039/D2EE03499A
Li5 La3 Y0.25 Nb1.75 O12,9.42E-06,-5.025949097,,,25,https://doi.org/10.1039/D2EE03499A
Li5.5 La3 Zr2 Ga0.5 O12,0.0001,-4,,,25,https://doi.org/10.1039/D2EE03499A
Li6 La2 Mg1 Ta2 O12,2.45E-05,-4.610833916,,,100,10.1149/1.2800764
Li6 La2 Mg1 Ta2 O12,2.74E-06,-5.562249437,,,50,10.1149/1.2800764
Li6 La2 Mg1 Ta2 O12,1.92E-07,-6.716698771,,,21.1,10.1149/1.2800764
Li6.25 La3 Zr2 Ga0.25 O12,0.00035,-3.455931956,,,25,10.1016/j.matchemphys.2012.03.054
Li6.4 La3 Zr1.4 Ta0.3 Nb0.3 O12,0.000606,-3.217527376,,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr1.4 Ta0.4 Nb0.2 O12,0.000455,-3.341988603,,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr1.4 Ta0.5 Nb0.1 O12,0.000444,-3.35261703,,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr1.7 W0.3 O12,0.000789,-3.102922997,,,303,10.1063/1.4818971
Li6.4 La3 Zr2 Al0.19 O11.8,0.00031,-3.508638306,,,24.85,10.1016/j.jpowsour.2012.02.100
Li6.46 La3 Zr1.95 Al0.15 O11.86,8.30E-05,-4.080921908,,,25,10.1016/j.ensm.2019.08.017
Li6.55 La3 Zr1.55 Ta0.45 O12,0.00069,-3.161150909,,,25,https://doi.org/10.1039/D2EE03499A
Li6.55 La3 Zr2 Ga0.9 O12,0.0013,-2.886056648,,,24.85,10.1021/cm5008069
Li6.6 La2.5 Y0.5 Zr1.6 Ta0.4 O12,0.000226,-3.645891561,,,27,10.1021/am503731h
Li6.6 La2.75 Y0.25 Zr1.6 Ta0.4 O12,0.000436,-3.360513511,,,27,10.1021/am503731h
Li6.6 La2.875 Y0.125 Zr1.6 Ta0.4 O12,0.000317,-3.498940738,,,27,10.1021/am503731h
Li6.65 La3 Zr1.65 Ta0.35 O12,0.00077,-3.113509275,,,25,https://doi.org/10.1039/D2EE03499A
Li6.66 La3 Zr2 Al0.258 O12,0.000151,-3.821023053,,,25,https://doi.org/10.1039/D2EE03499A
Li6.8 La3 Zr1.8 Ta0.2 O12,0.00028,-3.552841969,,,25,10.1039/C2JM31413D
Li6.835 La3 Zr2 Al0.231 O12,0.00022,-3.657577319,,,25,https://doi.org/10.1039/D2EE03499A
Li6.949 La3 Zr2 Al0.262 O12,0.000225,-3.647817482,,,25,https://doi.org/10.1039/D2EE03499A
Li7 La3 Sn2 O12,2.88E-08,-7.540607512,,,85,10.1039/b907331k
Li7 La3 Ta2 O13,6.85E-05,-4.164309429,,,121,10.1016/j.ssi.2009.07.002
Li7 La3 Ta2 O13,2.76E-05,-4.559090918,,,90,10.1016/j.ssi.2009.07.002
Li7 La3 Ta2 O13,9.33E-06,-5.030118356,,,60,10.1016/j.ssi.2009.07.002
Li7 La3 Ta2 O13,2.65E-06,-5.576754126,,,30,10.1016/j.ssi.2009.07.002
Li7 La3 Ta2 O13,3.30E-06,-5.48148606,,,48,10.1016/j.ssi.2009.07.002
Li7.06 La3 Y0.06 Zr1.94 O12,0.00527,-2.278189385,,,127,10.1016/j.elecom.2011.08.014
Li7.06 La3 Y0.06 Zr1.94 O12,0.000956,-3.019542108,,,25,10.1016/j.elecom.2011.08.014
