composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li6.1 La3 Sm0.55 Ta1.45 O12,1.40E-05,-4.853871964,,259169.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 S5 Cl1,0.00205,-2.688246139,0.452,259200.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 S5 Br0.5 Cl0.5,0.00333,-2.477555766,0.367,259201.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 S5 Cl1,3.30E-05,-4.48148606,0.38,259205.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Zn1 S1 O4 F1,2.80E-05,-4.552841969,0.2455,261343.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Sb1 O2,1.00E-10,-10,0.88,262075.cif,25,https://doi.org/10.1039/D2EE03499A
Li14 Nd5 Si11 N19 O7 F2,1.70E-10,-9.769551079,0.69,262923.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Al0.2 Ge1.8 P3 O12,4.83E-05,-4.316052869,0.387,263760.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Al0.4 Ge1.6 P3 O12,0.000188,-3.725842151,0.407,263762.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Al0.5 Ge1.5 P3 O12,0.000336,-3.473660723,0.426,263763.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Al0.5 Ge1.5 P3 O12,0.000286,-3.543633967,0.38,263764.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.7 Al0.7 Ge1.3 P3 O12,0.000264,-3.578396073,0.45,263765.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Al0.8 Ge1.2 P3 O12,0.000137,-3.863279433,0.429,263766.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ge2 P3 O12,3.37E-07,-6.472370099,0.38,263767.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.69 Zn0.66 P1 S4,0.00013,-3.886056648,0.181,264462.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Zn0.5 P1 S4,0.00013,-3.886056648,0.22,264462.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Zn0.75 P1 S4,1.65E-05,-4.782516056,0.25,264463.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.19 Zn0.9 P1 S4,6.50E-06,-5.187086643,0.25,264463.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 B0.9 P1 H3.6 S4.9,0.0018,-2.744727495,0.166,264526.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 N1,0.0012,-2.920818754,0.25,26540.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ta2 P1 O8,0.0016,-2.795880017,0.32,267438.cif,25,https://doi.org/10.1039/D2EE03499A
Ba1 Li1 P2 O7,1.00E-10,-10,,280927.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Mg1 S1 O4 F1,5.40E-08,-7.26760624,0.54,281119.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 H2 Cl1 O1,1.00E-08,-8,0.777,281198.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Sn1 S4,7.00E-05,-4.15490196,0.29,290832.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 La9 Si6 O26,1.00E-10,-10,,291218.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Eu9 Si6 O26,1.00E-10,-10,,291220.cif,25,https://doi.org/10.1039/D2EE03499A
Na1 Li2 B1 P2 O8,4.40E-18,-17.35654732,1.21,291512.cif,25,https://doi.org/10.1039/D2EE03499A
