,Unnamed: 0,composition,mp-id,target
1272,1272,S2O,,3.139333333333333
1273,1273,YSiNO2,mp-559123.cif,1.94
1274,1274,Y2Si2O7,mp-561531.cif,1.76
1275,1275,GeN,,1.85
1278,1278,CrCuO2,mp-510625.cif,1.255
1280,1280,NaZnP,mp-4824.cif,2.62
1281,1281,VBiO4,mp-1101208.cif,2.4833333333333334
1285,1285,P8O,,1.3995
1286,1286,WO2,mvc-6375.cif,1.49
1290,1290,I3O,,2.0
1293,1293,MgZnO,,2.2
1294,1294,MgH2,mp-1008901.cif,1.94
1295,1295,Ta3N5,mp-1205002.cif,2.68
1296,1296,K0.99Li0.01Ta0.6Nb0.4O3,,2.24
1297,1297,P180CN,,1.4
1298,1298,SOF,,2.0
1299,1299,BNF,,1.55
1300,1300,SrZrN2,mp-9382.cif,3.174
1301,1301,Ti0.75Zn1.75Ga0.5O4,,2.17
1303,1303,LaSN9F,,1.9103684210526315
1304,1304,ArH,,1.534
1306,1306,CNF125,,1.44
1307,1307,Ta2P5,,2.1
1312,1312,CrSi2,626787.cif,4.36
1313,1313,Ge5(AsSe4)3,,1.55
1314,1314,AgO,mp-8222.cif,2.8
1317,1317,PS2,,1.4532999999999998
1321,1321,VP2,mp-9923.cif,1.975
1322,1322,Na3PO4,mp-1101638.cif,1.332
1323,1323,H16C10O,,1.49
1325,1325,AlHO2,mp-1247827.cif,1.66
1326,1326,K8B,,1.5
1329,1329,MnS,158650.cif,5.7
1331,1331,NaSi3,,2.16
1332,1332,ThF4,mp-862671.cif,1.435
1335,1335,LiNbO,,2.75
1336,1336,Te31As19,,3.75
1338,1338,CaNb2O6,mp-17101.cif,2.135
1339,1339,SnSbSe24,,2.08
1343,1343,Zn2SiO4,mp-1020609.cif,1.7525
1344,1344,SN64F,,1.7016
1346,1346,NaY(WO4)2,,1.95
1347,1347,FeS2,15012.cif,3.04
1348,1348,HfAlN,,1.56
1349,1349,BaYF,,1.53
1351,1351,H7C6N,,1.627
1352,1352,Mg3SbN,mp-1080847.cif,4.3
1357,1357,Cd3TeO6,mp-14243.cif,2.3
1364,1364,TlGaTe2,mp-3785.cif,4.1
1365,1365,Sn2S3,656782.cif,2.625
1366,1366,LiNb3,,3.2
1368,1368,InN,mp-20812.cif,2.775
1370,1370,TiAlN,,2.35
1371,1371,B7PSN,,2.45
1372,1372,Si0.5C0.5,,1.26
1373,1373,La2Zr2O7,184100.cif,2.145
1374,1374,SrTi3,,2.5
1378,1378,TiNbN,,2.3
1379,1379,TiN,mp-33046.cif,3.7
1380,1380,H3C4,,1.5
1382,1382,TlN,mp-1007778.cif,3.4
1383,1383,Ge5Sb3S17,,2.28
1384,1384,BPI,,1.51
1386,1386,KYF,,1.5
1388,1388,Ga1Se0.5S0.5,,2.72
1389,1389,K2LaCl5,mp-1201545.cif,1.625
1390,1390,TiAlO,,1.8
1391,1391,AcVP,,1.47
1392,1392,TiF,,1.59
1393,1393,C3S32,,3.0
1394,1394,Li0.05Gd1.85Eu0.1O3,,1.7868
1395,1395,Li0.1Gd1.8Eu0.1O3,,1.774
1398,1398,Mn,mp-35.cif,5.0
1399,1399,CuB,,1.75
1400,1400,H6C2O,,8.0
1402,1402,CsGeF3,,1.6331
1404,1404,CsGeBr3,mp-570223.cif,2.2230777777777777
1405,1405,CsGeI3,mp-642690.cif,2.269428571428571
1406,1406,Cs2Hg3Cl8,,1.9987333333333333
1407,1407,Cs2Hg3Br8,,2.1429666666666667
1408,1408,Cs2Hg3I8,mp-540574.cif,2.2137857142857142
1409,1409,NaSb3F10,mp-27573.cif,1.68176
1410,1410,NaSb3Cl10,,2.05655
1411,1411,NaSb3Br10,,2.2337
1412,1412,NaSb3I10,,2.58505
1414,1414,SbBr3,mp-570005.cif,2.3553
1416,1416,ZnB2Sb2TeO9,,1.8
1418,1418,VNi,mp-1216313.cif,1.165
1419,1419,HeV,,1.245
1421,1421,K2Bi(IO3)5,mp-1202167.cif,2.09645
1422,1422,Rb2Bi(IO3)5,mp-1201257.cif,2.1028
1423,1423,P3NO,,1.425
